Promedio de calificaciones por curso:
Curso:  Assisting Public Sector Decision Makers With Policy Analysis, Promedio: 4.80
Curso:  Comercio, Inmigración y Tipos de Cambio en un Mundo Globalizado, Promedio: 4.90
Curso:  FPGA computing systems: Background knowledge and introductory materials, Promedio: 4.60
Curso:  Future Healthcare Payment Models, Promedio: 4.50
Curso:  IBM and ISC2 Cybersecurity Specialist Professional Certificate, Promedio: 4.80
Curso:  Improving Immunity Based on Traditional Eastern Exercises, Promedio: 4.50
Curso:  Introduction to Academic Writing, Promedio: 4.40
Curso:  Natural Language Processing and Capstone Assignment, Promedio: 4.70
Curso:  Preparation for CompTIA A+ Certification Specialization, Promedio: 4.90
Curso:  البرمجة اللغوية العصبية | NLP , Promedio: 4.70
Curso:  مهارات التفكير الجانبي  | Lateral Thinking Skills, Promedio: 4.90
Curso: #talkmentalillness, Promedio: 4.50
Curso: .NET FullStack Developer Specialization, Promedio: 4.10
Curso: .Net Full Stack Foundation, Promedio: 4.10
Curso: 1. 基礎知識：データはあらゆるところにある, Promedio: 4.70
Curso: 2. データに基づいた意思決定を行うための問いかけ, Promedio: 4.60
Curso: 21st Century Energy Transition: how do we make it work?, Promedio: 4.90
Curso: 3-Axis Machining with Autodesk Fusion 360, Promedio: 4.90
Curso: 4G Network Fundamentals, Promedio: 4.70
Curso: 5G Network Fundamentals, Promedio: 4.80
Curso: 5G for Everyone, Promedio: 4.80
Curso: A Blueprint for Success – Your Video Pre-Production, Promedio: 4.50
Curso: A Circular Economy of Metals: Towards a Sustainable Societal Metabolism, Promedio: 4.70
Curso: A Crash Course in Data Science, Promedio: 4.50
Curso: A General Approach to Risk Management, Promedio: 4.90
Curso: A Guide to Healthcare Innovation: Principles and Practice , Promedio: 4.70
Curso: A Practitioner's Approach to Power Distribution & Automation Specialization, Promedio: 4.70
Curso: ADP Accountant Connect Certification, Promedio: 4.50
Curso: AI & Law , Promedio: 4.70
Curso: AI Capstone Project with Deep Learning , Promedio: 4.50
Curso: AI For Medical Treatment, Promedio: 4.70
Curso: AI Product Management Specialization, Promedio: 4.70
Curso: AI for Good Specialization, Promedio: 4.80
Curso: AI for Medical Prognosis , Promedio: 4.70
Curso: AI for Medicine Specialization, Promedio: 4.70
Curso: AI in Healthcare Specialization, Promedio: 4.70
Curso: AI, Business & the Future of Work, Promedio: 4.70
Curso: AI, Empathy & Ethics, Promedio: 4.20
Curso: AIDS: Fear and Hope, Promedio: 4.80
Curso: API Design and Fundamentals of Google Cloud's Apigee API Platform, Promedio: 4.70
